Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/StructureDefinition-GimbalScreening.json	3331	7	0	99	0	0	0	0	0	16	0	0	1	0	0	0	0	1	0	0	1036	493	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-GimbalScreeningCondition.json	677	1	0	12	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	268	139	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-GimbalScreeningMedication.json	686	2	0	11	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	212	121	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-GimbalScreeningObservation.json	695	1	0	13	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	357	166	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-GimbalScreeningProcedure.json	685	2	0	12	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	294	184	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-SpaceCondition.json	627	1	0	16	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	262	183	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-SpaceEquipment.json	612	1	0	19	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	336	151	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-SpaceInsurance.json	614	1	0	22	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	401	222	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-SpaceInsuranceContract.json	642	2	0	37	0	0	0	0	0	13	0	0	1	0	0	0	0	1	0	0	928	345	0	0	0	8	1	1
fsh-generated/resources/StructureDefinition-SpaceLocation.json	644	1	0	18	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	220	196	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-SpaceOrg.json	622	1	0	13	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	179	94	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-SpaceProcedure.json	627	2	0	18	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	284	143	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-SpaceRiskAssesment.json	642	1	0	14	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	201	104	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-SpaceVehicle.json	667	1	0	15	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	221	109	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-vital-signs-panel.json	6736	2	0	33	0	0	0	0	0	185	0	0	0	0	0	0	0	1	0	0	714	730	0	0	0	6	0	1
fsh-generated/resources/ValueSet-AircraftFumeExposureValueSet.json	2567	1	0	0	0	0	0	0	0	403	0	0	0	0	0	0	0	0	0	0	26	9809	0	0	0	1	0	0
fsh-generated/resources/ValueSet-Astronaut-Back-Pain.json	1150	2	0	0	1	0	0	0	0	369	0	0	0	0	0	0	0	0	0	0	17	293	0	0	0	0	0	0
fsh-generated/resources/ValueSet-GimbalContraindicatedConditions.json	1604	1	0	0	0	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	20	642	0	0	0	0	0	0
fsh-generated/resources/ValueSet-LunarDustToxicityValueSet.json	2361	1	0	0	0	0	0	0	0	366	0	0	0	0	0	0	0	0	0	0	25	1275	0	0	0	0	0	0
fsh-generated/resources/ValueSet-Muscle-Stiffness-and-Space-Health.json	1033	2	0	0	0	0	0	0	0	414	0	0	0	0	0	0	0	0	0	0	17	214	0	0	0	0	0	0
fsh-generated/resources/ValueSet-SleepLossHypoxiaEffect.json	1647	1	0	0	0	0	0	0	0	368	0	0	0	0	0	0	0	0	0	0	20	200	0	0	0	1	0	0
fsh-generated/resources/ValueSet-SleepLossHypoxiaResponses.json	1524	1	0	0	0	0	0	0	0	1542	0	0	0	0	0	0	0	0	0	0	20	243	0	0	0	0	0	0
fsh-generated/resources/ValueSet-Space-Adaptation-Bone-Health.json	1649	2	0	0	0	0	0	0	0	558	0	0	0	0	0	0	0	0	0	0	20	310	0	0	0	0	0	0
fsh-generated/resources/ValueSet-SpaceRadiationRisksVS.json	858	1	0	0	0	0	0	0	0	406	0	0	0	0	0	0	0	0	0	0	14	216	0	0	0	0	0	0
fsh-generated/resources/ValueSet-SpaceTravelBrainChanges.json	1454	1	0	0	0	0	0	0	1	429	0	0	0	0	0	0	0	0	0	0	18	191	0	0	0	0	0	0
fsh-generated/resources/ValueSet-SpaceflightStressFactors.json	2827	2	0	0	0	0	0	0	0	488	0	0	0	0	0	0	0	0	0	0	28	242	0	0	0	0	0	0
input/resources/StructureDefinition-average-blood-pressure.json	300035	11	0	33	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1018	1174	0	2	0	9	0	1
input/resources/StructureDefinition-body-mass-index.json	182973	8	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	556	270	0	0	0	6	0	0
input/resources/StructureDefinition-body-temperature.json	220953	9	0	11	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	662	580	0	0	0	6	0	1
input/resources/StructureDefinition-body-weight.json	218536	8	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	666	270	0	1	0	7	1	1
input/resources/StructureDefinition-bp-device.json	117903	6	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	361	128	0	0	0	3	0	0
input/resources/StructureDefinition-heart-rate.json	229708	9	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	745	317	0	1	0	6	0	1
input/resources/StructureDefinition-height.json	218779	11	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	724	329	0	0	0	6	0	0
